Country/Region,Region,Birth Rate,Business Tax Rate,CO2 Emissions,CO2 Emissions per Capita,Days to Start Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Total Health Expenditures,Tourism Inbound,Tourism Outbound
Armenia,Asia,0.014,0.386,"4,221",0.001424331,14,"2,483","9,260,287,416","3,124.78",0.046,143,581,0.016,0.25,0.192,78,71,1.304,"425,973,221.14","456,000,000","466,000,000"
Chad,Africa,0.047,0.758,469,4.00E-05,64,,"10,657,705,072",909.299906892,0.04,29,732,0.094,0.017,,51,49,0.245,"426,308,202.88",,
Haiti,The Americas,0.027,0.404,"2,120",0.000214219,105,"2,409","6,622,541,529",669.18692949,0.067,45,184,0.073,0.084,0.175,64,60,0.404,"443,710,282.44","169,000,000","431,000,000"
Malawi,Africa,0.041,0.259,"1,239",8.25E-05,39,,"5,398,616,985",359.579526864,0.085,30,157,0.053,0.023,0.246,54,53,0.208,"458,882,443.73","47,000,000","93,000,000"
Turkmenistan,Asia,0.022,,"53,054",0.010522422,,"22,675","22,148,070,175","4,392.72",0.021,95,,0.051,0.03,,69,61,0.634,"465,109,473.68",,
Equatorial Guinea,Africa,0.037,0.441,"4,679",0.006721088,135,,"11,586,407,487","16,643.14",0.043,757,492,0.076,0.06,,53,50,0.574,"498,215,521.94",,
Mauritius,Africa,0.012,0.272,"4,118",0.003214867,6,,"9,718,331,363","7,586.97",0.054,427,161,0.013,0.283,0.089,77,69,0.968,"524,789,893.60","1,585,000,000","423,000,000"
Mozambique,Africa,0.041,0.375,"2,882",0.000120247,13,"9,875","9,274,448,732",386.963165468,0.057,22,230,0.072,0.042,0.163,50,48,0.301,"528,643,577.72","224,000,000","260,000,000"
"Bahamas, The",The Americas,0.016,0.449,"2,464",0.006834989,24,,"7,888,087,000","21,881.08",0.074,"1,626",58,0.011,0.43,0.055,78,72,1.188,"583,718,438","2,159,000,000","369,000,000"
Rwanda,Africa,0.037,0.31,594,5.48E-05,3,,"5,624,809,049",519.050304926,0.108,56,148,0.044,0.08,0.167,64,61,0.327,"607,479,377.29","224,000,000","120,000,000"
Senegal,Africa,0.039,0.455,"7,059",0.000545073,9,"3,426","12,932,427,724",998.599576358,0.048,48,666,0.047,0.16,,64,61,0.644,"620,756,530.75","464,000,000","217,000,000"
Mali,Africa,0.048,0.514,623,4.45E-05,8,,"9,422,267,260",673.694661382,0.069,46,270,0.083,0.019,,54,54,0.532,"650,136,440.94","296,000,000","235,000,000"
Cambodia,Asia,0.026,0.214,"4,180",0.000290986,102,"5,024","11,242,266,334",782.618888598,0.058,46,173,0.037,0.013,,73,68,0.567,"652,051,447.37","1,332,000,000","268,000,000"
North Macedonia,Europe,0.011,0.083,"10,873",0.005172161,3,"2,883","9,338,674,078","4,442.30",0.07,309,119,0.009,0.519,0.095,77,73,1.024,"653,707,185.46","209,000,000","141,000,000"
Albania,Europe,0.013,0.331,"4,283",0.001499297,6,"2,059","11,926,953,259","4,175.12",0.055,207,360,0.015,0.45,0.128,80,74,0.855,"655,982,429.25","1,780,000,000","1,454,000,000"
Nicaragua,The Americas,0.024,0.632,"4,547",0.000780975,39,"2,951","8,938,210,560","1,535.19",0.076,112,222,0.022,0.1,0.133,77,71,0.681,"679,304,002.56","309,000,000","329,000,000"
Moldova,Europe,0.012,0.304,"4,855",0.001362981,10,"3,426","5,811,604,052","1,631.54",0.117,190,228,0.015,0.323,0.164,72,65,0.714,"679,957,674.08","232,000,000","324,000,000"
Burkina Faso,Africa,0.043,0.448,"1,683",0.000108299,14,,"9,209,288,383",592.607469915,0.074,41,270,0.07,0.024,,56,54,0.367,"681,487,340.34","105,000,000","110,000,000"
Malta,Europe,0.009,,"2,589",0.006245959,,848,"8,163,841,060","19,695.26",0.085,"1,707",,0.006,0.63,0.046,84,79,1.073,"693,926,490.10","1,238,000,000","366,000,000"
